name,artist,positive,neutral,negative,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pick Up If You're There,Mercury Rev,0,0,1,45lMlhuFSC4mueaLonziXd,0.182,0.238,1,-15.263,0,0.0371,0.448,0.902,0.356,0.0405,87.351
Never Gonna Be the Same Again,Bob Dylan,0,0,1,5ikSGN7EiS5zZSTWqKLN6g,0.655,0.929,11,-4.105,0,0.077,0.0757,3.09e-05,0.0334,0.595,124.117
Yesterday,Lullatone,0,1,0,3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529
Deathbed,Relient K,1,0,0,0Ih0wjhs1c56howQQimAAA,0.245,0.727,4,-5.952,0,0.0531,0.513,0.292,0.106,0.162,159.996
La Nave Del Olvido,José José,0,0,1,2pOyQcM91HM3tZEiwZCraG,0.315,0.306,9,-8.777,0,0.0293,0.757,0,0.188,0.465,94.334
The Church Of Hot Addiction,Cobra Starship,1,0,0,4ukDQOgzyVz4GpuVg0LKbr,0.512,0.976,2,-3.592,1,0.0913,0.00323,0,0.236,0.444,147.924
Woman's Gotta Have It,Bobby Womack,0,1,0,20HCbY9qPpi1H2pP2MRUWy,0.506,0.59,11,-8.922,0,0.0302,0.567,2.1e-05,0.17,0.735,83.627
21st Century Kid,Jamie Cullum,0,2,0,1sJKr5K7zbfxOREaKpQ760,0.452,0.558,9,-6.168,0,0.0309,0.425,0,0.0816,0.132,135.09
Province,TV on the Radio,1,1,0,1eQgB3HQgdmaAqUqUR7WzV,0.557,0.857,1,-7.835,1,0.051,0.358,0.00845,0.148,0.305,130.054
You Give Good Love,Whitney Houston,0,1,0,0t6DdFmFQhQYWhmfa5FJer,0.559,0.365,5,-13.654,1,0.0332,0.686,0,0.0771,0.534,74.802
Haunted Dancehall,The Sabres Of Paradise,0,1,0,2S1Y1ZixhmL37o4zuFkiPm,0.665,0.593,8,-9.817,1,0.0997,0.0544,0.000635,0.0675,0.763,159.988
Nothing Hurts Now,Magnet,0,2,2,0zbYCRJHx6JtwyknqrAA07,0.31,0.444,2,-8.403,1,0.0315,0.12,3.87e-05,0.103,0.149,166.904
Love Sweet Sound,Groove Armada,1,1,0,1XuInr77ZWegR201wmDYp1,0.71,0.903,7,-2.465,0,0.104,0.00733,0,0.13,0.894,92.006
thirteen things,Elephant Parade,0,1,0,6dtJ2QCDG5vgU5FAuKY88o,0.428,0.189,0,-13.726,1,0.0326,0.869,0.814,0.1,0.0676,87.458
ALONE EN LA VIDA,L'Arc~en~Ciel,0,0,1,31sVwsPD2oVBq80RbntUSs,0.484,0.879,9,-4.277,0,0.035,0.0749,0.00169,0.23,0.585,100.052
Tammy,Debbie Reynolds,0,0,1,22gXA7HlEd0z13zdc3hju7,0.477,0.835,9,-5.942,0,0.438,0.924,0.000508,0.129,0.52,97.317
Bad Night At The Whiskey,The Byrds,0,0,1,25Sxs9qvyOv0EdJqc7U2Zd,0.305,0.437,7,-12.784,1,0.0308,0.197,0.0417,0.131,0.69,172.253
I Won't Change You,Sophie Ellis-Bextor,1,0,0,6mASwjv4iSz5S8je6WPX55,0.346,0.5,1,-10.591,1,0.0692,0.0521,0,0.105,0.47,102.17
English House,Fleet Foxes,2,0,0,4dv5EEuSVwCBtayhHUUlKX,0.579,0.566,8,-9.892,1,0.0274,0.174,0.479,0.127,0.37,97.975
Kelly,Songs of Soil,0,0,1,0DYNL4xbYWgNzppUamtyR4,0.721,0.632,5,-6.695,0,0.0358,0.0693,0,0.291,0.296,92.057
Angeles,Elliott Smith,1,2,4,4LloVtxNZpeh7q7xdi1DQc,0.315,0.296,5,-13.262,1,0.0315,0.771,0,0.702,0.435,173.509
